x,y,z
1611.444,1024.383,1
1611.444,1024.383,1
1614.303,1024.644,1
1614.745,1022.601,1
1617.441,1021.900,1
1617.441,1021.900,1
1616.763,1019.268,1
1619.107,1018.293,1
1617.931,1015.689,1
1620.091,1015.226,1
1620.091,1015.226,1
1619.265,1011.973,1
1621.724,1012.386,1
1621.122,1009.521,1
1621.122,1009.521,1
1623.456,1008.408,1
1622.964,1005.886,1
1625.011,1004.471,1
1623.852,1001.307,1
1623.852,1001.307,1
1625.964,999.156,1
1624.453,996.622,1
1626.082,993.951,1
1626.082,993.951,1
1623.717,991.258,1
1625.523,989.630,1
1624.058,987.622,1
1625.421,985.518,1
1625.421,985.518,1
1624.344,982.929,1
1626.424,979.828,1
1624.311,979.265,1
1624.311,979.265,1
1623.429,976.976,1
1620.868,976.323,1
1619.987,974.054,1
1619.987,974.054,1
1617.246,974.559,1
1616.358,972.052,1
1614.168,973.195,1
1613.720,970.890,1
1613.720,970.890,1
1610.355,971.804,1
1610.343,969.766,1
1607.311,969.051,1
1607.311,969.051,1
1607.232,967.464,1
1604.297,966.307,1
1603.703,964.260,1
1600.964,963.519,1
1600.964,963.519,1
1600.617,960.935,1
1598.548,961.270,1
1597.486,958.246,1
1597.486,958.246,1
1595.243,958.643,1
1593.345,956.433,1
1590.748,957.513,1
1589.284,955.269,1
1589.284,955.269,1
1586.301,956.186,1
1584.833,954.479,1
1582.038,955.833,1
1582.038,955.833,1
1580.232,953.681,1
1577.844,954.347,1
1576.400,952.658,1
1574.196,953.834,1
1574.196,953.834,1
1572.927,952.052,1
1570.335,953.271,1
1568.496,951.633,1
1568.496,951.633,1
1566.404,953.030,1
1565.191,951.217,1
1562.149,952.035,1
1561.247,950.292,1
1561.247,950.292,1
1558.951,951.456,1
1559.153,949.832,1
1556.890,951.345,1
1556.890,951.345,1
1555.440,949.405,1
1552.989,949.948,1
1551.473,948.004,1
1551.473,948.004,1
1548.615,948.964,1
1547.657,947.137,1
1544.874,948.044,1
1543.937,946.088,1
1543.937,946.088,1
1540.779,946.877,1
1539.501,945.133,1
1536.694,945.574,1
1535.266,943.590,1
1535.266,943.590,1
1532.608,944.067,1
1530.455,942.212,1
1528.065,945.405,1
1528.065,945.405,1
1526.975,944.556,1
1525.486,946.246,1
1524.146,944.317,1
1522.266,945.897,1
1522.266,945.897,1
1521.166,943.481,1
1519.177,943.888,1
1517.739,941.479,1
1517.739,941.479,1
1515.730,942.638,1
1513.988,941.139,1
1511.563,942.897,1
1510.386,941.262,1
1510.386,941.262,1
1508.019,942.621,1
1506.568,940.709,1
1504.054,942.101,1
1504.054,942.101,1
1502.355,940.261,1
1498.890,941.380,1
1497.200,939.159,1
1497.200,939.159,1
1496.224,939.522,1
1496.186,940.307,1
1496.127,942.657,1
1494.829,941.593,1
1494.829,941.593,1
1493.394,943.535,1
1491.965,941.530,1
1489.598,942.417,1
1489.598,942.417,1
1488.194,940.296,1
1485.880,942.343,1
1484.757,940.174,1
1483.049,941.839,1
1483.049,941.839,1
1480.380,940.427,1
1477.885,942.400,1
1475.961,941.437,1
1473.620,943.588,1
1473.620,943.588,1
1471.872,942.313,1
1469.595,944.429,1
1467.873,942.436,1
1467.873,942.436,1
1465.093,944.230,1
1463.588,942.433,1
1460.745,944.421,1
1460.745,944.421,1
1460.767,943.276,1
1459.132,945.032,1
1457.533,943.256,1
1455.519,943.999,1
1455.519,943.999,1
1454.569,941.863,1
1452.306,943.051,1
1451.341,941.187,1
1451.341,941.187,1
1448.215,942.185,1
1447.546,940.670,1
1444.588,940.196,1
1444.255,938.082,1
1444.255,938.082,1
1440.886,937.855,1
1440.771,936.431,1
1438.316,936.318,1
1437.221,935.024,1
1437.221,935.024,1
1433.895,935.382,1
1432.188,934.551,1
1429.675,935.478,1
1429.675,935.478,1
1428.462,934.529,1
1426.454,935.872,1
1424.719,934.299,1
1422.144,935.654,1
1422.144,935.654,1
1420.118,934.121,1
1418.471,934.917,1
1416.567,933.071,1
1416.567,933.071,1
1414.448,934.032,1
1412.571,932.527,1
1410.296,933.708,1
1408.012,931.370,1
1408.012,931.370,1
1405.923,933.413,1
1405.008,932.037,1
1402.450,932.371,1
1402.450,932.371,1
1401.645,930.204,1
1399.933,930.846,1
1398.342,928.327,1
1396.186,928.641,1
1396.186,928.641,1
1395.254,926.738,1
1392.437,927.280,1
1392.277,925.421,1
1392.277,925.421,1
1390.444,926.005,1
1388.852,924.301,1
1386.394,925.273,1
1384.968,923.487,1
1384.968,923.487,1
1381.730,924.631,1
1380.265,922.370,1
1377.353,922.866,1
1377.353,922.866,1
1376.484,921.158,1
1373.910,922.024,1
1373.044,919.491,1
1369.921,919.964,1
1369.921,919.964,1
1368.497,918.007,1
1366.392,919.459,1
1365.649,918.059,1
1365.649,918.059,1
1362.393,918.024,1
1361.254,915.770,1
1358.000,915.747,1
1357.504,914.221,1
1357.504,914.221,1
1353.468,914.419,1
1352.371,912.879,1
1349.244,913.295,1
1349.244,913.295,1
1350.093,911.659,1
1347.989,912.410,1
1347.052,910.461,1
1344.939,911.319,1
1344.939,911.319,1
1343.668,909.384,1
1341.308,910.843,1
1340.188,908.840,1
1340.188,908.840,1
1337.203,909.895,1
1335.902,908.067,1
1333.758,908.960,1
1332.285,907.572,1
1332.285,907.572,1
1330.133,908.587,1
1328.927,906.256,1
1326.455,907.261,1
1325.342,905.503,1
1325.342,905.503,1
1323.019,906.123,1
1322.132,904.160,1
1319.764,905.348,1
1317.864,902.984,1
1317.864,902.984,1
1315.119,903.858,1
1313.331,902.600,1
1311.587,903.948,1
1311.587,903.948,1
1309.925,902.771,1
1309.661,904.525,1
1308.754,902.363,1
1306.183,902.908,1
1306.183,902.908,1
1303.953,900.589,1
1301.891,902.350,1
1299.821,901.541,1
1299.821,901.541,1
1298.615,903.946,1
1296.565,903.545,1
1295.518,905.026,1
1295.518,905.026,1
1295.065,904.230,1
1294.414,905.166,1
1293.470,903.021,1
1290.916,903.350,1
1290.916,903.350,1
1289.499,900.573,1
1286.939,901.041,1
1285.532,899.477,1
1283.069,900.833,1
1283.069,900.833,1
1281.991,899.158,1
