x,y,z
1585.620,1037.392,1
1590.640,1036.696,1
1595.332,1037.223,1
1601.621,1036.693,1
1607.541,1036.766,1
1607.541,1036.766,1
1608.380,1034.252,1
1609.964,1032.254,1
1608.460,1029.178,1
1610.030,1028.128,1
1609.256,1025.873,1
1611.456,1026.201,1
1611.606,1023.676,1
1614.481,1023.933,1
1614.940,1021.952,1
1617.650,1021.235,1
1616.936,1018.626,1
1619.252,1017.621,1
1619.252,1017.621,1
1618.072,1015.075,1
1620.241,1014.560,1
1619.352,1011.323,1
1621.783,1011.692,1
1621.141,1008.851,1
1623.447,1007.681,1
1622.914,1005.191,1
1624.876,1003.711,1
1624.876,1003.711,1
1623.679,1000.606,1
1625.813,998.418,1
1624.232,995.912,1
1624.232,995.912,1
1625.756,993.197,1
1623.442,990.550,1
1625.254,988.843,1
1625.254,988.843,1
1623.784,986.859,1
1625.125,984.793,1
1625.125,984.793,1
1624.043,982.203,1
1625.944,979.073,1
1623.882,978.526,1
1623.882,978.526,1
1622.938,976.324,1
1620.411,975.717,1
1619.405,973.571,1
1619.405,973.571,1
1616.698,974.180,1
1615.736,971.678,1
1613.541,972.836,1
1613.541,972.836,1
1613.087,970.534,1
1609.744,971.432,1
1609.682,969.409,1
1609.682,969.409,1
1606.631,968.743,1
1606.537,966.975,1
1606.537,966.975,1
1603.579,965.811,1
1602.942,963.751,1
1600.270,963.287,1
1600.270,963.287,1
1599.615,960.697,1
1597.445,961.115,1
1596.593,958.160,1
1596.593,958.160,1
1594.347,958.584,1
1592.694,956.477,1
1590.312,957.694,1
1588.807,955.478,1
1585.871,956.429,1
1584.379,954.753,1
1584.379,954.753,1
1581.617,956.149,1
1579.826,954.043,1
1577.472,954.755,1
1577.472,954.755,1
1576.042,953.136,1
1573.851,954.304,1
1573.851,954.304,1
1572.556,952.556,1
1570.003,953.801,1
1567.984,951.995,1
1567.984,951.995,1
1565.948,953.269,1
1564.749,951.491,1
1561.805,952.298,1
1561.805,952.298,1
1560.999,950.699,1
1558.572,951.918,1
1558.572,951.918,1
1558.721,950.296,1
1556.615,951.767,1
1555.095,949.778,1
1555.095,949.778,1
1552.635,950.336,1
1551.240,948.142,1
1548.402,949.041,1
1548.402,949.041,1
1547.554,947.249,1
1544.561,948.320,1
1543.730,946.347,1
1543.730,946.347,1
1540.569,947.194,1
1539.317,945.398,1
1536.531,945.810,1
1536.531,945.810,1
1535.009,943.873,1
1532.359,944.506,1
1530.526,942.661,1
1530.526,942.661,1
1528.092,945.594,1
1526.941,944.741,1
1525.605,946.468,1
1525.605,946.468,1
1524.118,944.603,1
1522.234,946.154,1
1521.190,943.780,1
1521.190,943.780,1
1519.213,944.201,1
1517.763,941.816,1
1515.765,942.972,1
1515.765,942.972,1
1514.018,941.498,1
1511.629,943.265,1
1511.629,943.265,1
1510.400,941.630,1
1508.002,942.929,1
1506.601,941.026,1
1506.601,941.026,1
1504.068,942.382,1
1502.363,940.574,1
1498.920,941.708,1
1498.920,941.708,1
1497.225,939.507,1
1496.256,939.874,1
1496.256,939.874,1
1496.223,940.655,1
1496.114,942.948,1
1494.797,941.884,1
1494.797,941.884,1
1493.378,943.826,1
1491.944,941.836,1
1489.592,942.733,1
1489.592,942.733,1
1488.183,940.628,1
1485.890,942.679,1
1484.760,940.526,1
1484.760,940.526,1
1483.068,942.192,1
1480.403,940.801,1
1477.929,942.780,1
1477.929,942.780,1
1476.009,941.831,1
1473.690,943.985,1
1471.963,942.764,1
1471.963,942.764,1
1469.716,944.846,1
1468.003,942.908,1
1465.226,944.707,1
1465.226,944.707,1
1463.725,942.965,1
1460.958,944.920,1
1460.958,944.920,1
1460.968,943.754,1
1459.350,945.512,1
1457.771,943.830,1
1457.771,943.830,1
1455.812,944.484,1
1454.808,942.389,1
1452.585,943.576,1
1452.585,943.576,1
1451.792,941.781,1
1448.726,942.763,1
1448.067,941.355,1
1448.067,941.355,1
1445.040,940.902,1
1444.617,939.109,1
1441.514,939.025,1
1441.514,939.025,1
1441.210,937.423,1
1438.511,937.181,1
1437.490,935.929,1
1437.490,935.929,1
1434.113,936.124,1
1432.390,935.467,1
1430.286,936.485,1
1430.286,936.485,1
1429.494,935.381,1
1427.557,936.856,1
1427.557,936.856,1
1425.765,935.470,1
1422.980,937.012,1
1421.239,935.434,1
1421.239,935.434,1
1419.758,936.293,1
1418.081,934.525,1
1416.020,935.700,1
1416.020,935.700,1
1414.507,934.049,1
1412.144,935.356,1
1409.971,933.023,1
1409.971,933.023,1
1407.732,935.087,1
1406.801,933.670,1
1404.260,934.073,1
1404.260,934.073,1
1403.167,931.976,1
1401.493,932.622,1
1399.858,930.146,1
1399.858,930.146,1
1397.691,930.511,1
1396.164,928.658,1
1393.533,929.335,1
1393.533,929.335,1
1393.046,927.389,1
1391.034,927.870,1
1391.034,927.870,1
1389.236,925.998,1
1386.824,927.039,1
1385.342,925.273,1
1385.342,925.273,1
1382.106,926.378,1
1380.718,924.119,1
1377.831,924.702,1
1377.831,924.702,1
1376.955,922.933,1
1374.492,923.720,1
1373.338,921.129,1
1373.338,921.129,1
1370.596,921.602,1
1369.067,919.708,1
1369.067,919.708,1
1366.801,921.266,1
1365.991,919.885,1
1362.780,919.871,1
1362.780,919.871,1
1361.685,917.806,1
1358.357,917.786,1
1357.588,916.031,1
1357.588,916.031,1
1353.917,916.149,1
1352.714,914.648,1
1349.564,915.137,1
1349.564,915.137,1
1350.032,913.415,1
1347.452,914.176,1
1346.160,911.687,1
1346.160,911.687,1
1343.978,912.540,1
1342.650,910.421,1
1340.249,911.909,1
1340.249,911.909,1
1339.108,909.903,1
1336.111,910.950,1
1334.824,909.120,1
1334.824,909.120,1
1332.688,910.025,1
1331.269,908.596,1
1329.101,909.581,1
1329.101,909.581,1
1327.792,907.220,1
1325.292,908.295,1
1324.318,906.501,1
1324.318,906.501,1
1321.983,907.177,1
1321.038,905.059,1
1318.563,906.424,1
1318.563,906.424,1
1316.728,903.908,1
1314.024,904.740,1
1312.304,903.474,1
1312.304,903.474,1
1310.617,905.190,1
1308.707,903.865,1
1308.393,905.677,1
1308.393,905.677,1
1307.353,903.359,1
1304.755,903.935,1
1302.509,901.610,1
1302.509,901.610,1
1300.592,903.186,1
1298.776,902.484,1
1298.776,902.484,1
1297.551,904.493,1
1295.670,904.166,1
1294.387,905.453,1
1294.387,905.453,1
1294.568,904.991,1
1293.500,905.751,1
1292.031,903.421,1
1289.477,903.779,1
1288.046,901.008,1
1288.046,901.008,1
1285.480,901.493,1
1284.066,899.921,1
1281.742,901.293,1
1281.742,901.293,1
1280.424,899.602,1
1278.653,900.752,1
1277.848,899.292,1
1277.848,899.292,1
1275.211,899.875,1
1273.804,897.622,1
1270.197,897.750,1
1270.197,897.750,1
1269.223,895.493,1
1266.021,896.398,1
1266.021,896.398,1
1264.390,894.534,1
1261.932,895.109,1
1261.119,892.726,1
1261.119,892.726,1
1258.961,892.737,1
1258.477,890.598,1
1255.001,890.039,1
1255.001,890.039,1
1254.145,887.880,1
1250.768,887.766,1
1249.841,885.618,1
1249.841,885.618,1
1247.093,886.177,1
1246.482,883.833,1
1244.098,884.176,1
1244.098,884.176,1
1243.307,881.749,1
1240.682,882.222,1
1239.695,879.900,1
1239.695,879.900,1
1237.141,880.366,1
1235.856,878.350,1
1233.116,878.451,1
1233.116,878.451,1
1232.523,876.481,1
1229.891,878.075,1
1228.919,876.480,1
1228.919,876.480,1
1226.405,877.261,1
1226.288,875.243,1
1224.118,875.539,1
1224.118,875.539,1
1224.078,873.133,1
1220.975,873.289,1
1220.297,871.112,1
1220.297,871.112,1
1217.821,871.707,1
1217.264,869.452,1
1214.485,869.643,1
1214.485,869.643,1
1213.825,867.338,1
1210.819,867.242,1
1209.937,864.655,1
1209.937,864.655,1
1207.398,864.513,1
1206.646,862.514,1
1204.212,862.827,1
1204.212,862.827,1
1203.248,860.950,1
