id,layer,x,y
89,1,1612.40150451,987.531481971
90,1,1597.6625,1034.46203606
91,1,1572.00798648,1032.12951352
92,1,1545.37025451,1020.34178155
94,1,1515.70173648,980.567013522
95,1,1511.27523197,952.46898197
96,1,1534.20046394,960.639468448
97,1,1538.7859955,956.467245492
98,1,1588.5875,974.91875
99,1,1587.55625,979.45625
100,1,1335.46021424,779.8
101,1,1339.37109375,791.201504507
102,1,1359.22265625,784.001504507
103,1,1355.61255799,772.3
104,1,1322.52589724,813.098495493
105,1,1385.99291076,790.301504507
106,1,1392.0078125,778.904513522
107,1,1462.38990174,753.998495493
108,1,1487.65625,765.401504507
109,1,1514.42650451,837.4
110,1,1511.71875,871.3
111,1,1493.67404477,902.504513522
112,1,1462.9921875,923.496990985
113,1,1425.39453125,927.401504507
114,1,1297.26171875,885.703009015
115,1,1232.59375,852.401504507
116,1,1245.52734375,832.596990985
117,1,1310.796875,808.0
118,1,1307.99001773,774.504513522
119,1,1372.4609375,751.4
120,1,1382.98611148,756.2
121,1,1453.97265625,730.7
122,1,1465.40162049,707.00601803
123,1,1453.671875,671.90601803
124,1,1429.01070553,660.5
125,1,1220.56640625,735.498495493
126,1,1199.21310727,779.598495493
127,1,1204.92578125,797.6
128,1,1230.79224549,810.5
129,1,1302.68041076,785.3
130,1,1178.01692818,771.86515974
131,1,1186.15292368,776.176734279
132,1,1185.65234375,792.904629507
133,1,1192.45775451,817.072916667
134,1,1182.83984375,827.862037159
135,1,1158.0546875,833.495370493
136,1,1128.5234375,830.628125
137,1,1101.07826833,816.490275946
138,1,1103.51244201,808.59664303
139,1,1131.96339724,798.487384015
140,1,1159.109375,783.926504507
141,1,1670.03431701,893.304513522
142,1,1654.60697326,887.16875
143,1,1658.71328125,875.923263522
144,1,1681.29849549,883.926504507
145,1,1677.36171875,895.739004507
146,1,1634.63984375,866.24375
147,1,1629.93052674,879.876504507
148,1,1601.61880799,856.082754507
149,1,1608.94620974,873.151272537
150,1,1596.70240174,908.359259015
151,1,1557.63660276,943.196759015
152,1,1539.77896424,939.21875
153,1,1525.33125,922.440509015
154,1,1539.571875,884.06226803
155,1,1544.11166076,847.682754507
156,1,1534.31640625,793.779513522
157,1,1541.60625,773.239004507
158,1,1517.60943299,703.63125
159,1,1499.73353576,694.6875
160,1,1471.13208924,617.947337841
161,1,1581.36935727,801.947337841
162,1,1738.71947326,353.863657652
163,1,1521.16128546,351.773495493
164,1,1067.70769651,514.694096856
165,1,898.199072119,744.103009014
166,1,894.82407212,755.316549582
167,1,882.875,760.655090149
168,1,870.38194591,756.147567612
169,1,866.352432388,744.353009014
170,1,869.705441403,733.484954925
171,1,880.29398197,727.072918865
172,1,894.44907212,732.889468448
173,1,823.785882805,717.529513522
174,1,819.808450418,709.028936895
175,1,820.940972955,726.29398197
176,1,811.859954925,729.529513522
177,1,802.653936895,726.198495493
178,1,799.720486478,718.33101803
179,1,802.91898197,710.375
180,1,810.992477463,706.264468448
181,1,736.25,666.125
182,1,781.551504507,681.978009015
183,1,765.375,728.375
184,1,720.388194591,712.301504507
186,1,713.646990985,655.271990985
187,1,721.875,662.0
188,1,722.051504507,678.75
189,1,716.551504507,695.573495493
190,1,707.125,708.426504507
191,1,679.779513522,698.603009015
192,1,655.478009015,704.198495493
193,1,633.176504507,702.875
194,1,613.948495493,695.5
195,1,597.125,683.801504507
196,1,584.426504507,667.625
197,0,1532.76643689,956.5125
199,0,1553.27101171,1025.85092788
200,0,1566.01255799,1030.51701352
201,0,1584.7234375,1034.25300901
202,0,1601.11880799,1034.2875
203,0,1618.759375,986.317013522
204,0,1562.4609375,1040.025
205,0,1544.0515625,1031.22349549
206,0,1527.52957151,1018.32997746
207,0,1515.58125,1006.71701352
208,0,1490.1078125,997.915509015
209,0,1493.92650451,986.0
210,0,1487.07349549,983.603009015
211,0,1481.625,1000.625
212,0,1488.27951352,1002.94849549
213,0,1507.72800901,947.029513522
214,0,1509.67650451,941.551504507
215,0,1503.44849549,939.603009015
216,0,1497.80150451,955.75
217,0,1504.19849549,958.0
218,0,1472.83101803,978.926504507
219,0,1467.42650451,976.926504507
220,0,1477.875,947.948495493
221,0,1483.60300901,950.029513522
222,0,1488.875,935.375
223,0,1483.625,933.176504507
224,0,1479.125,942.0
225,0,1473.375,941.875
226,0,1462.94849549,960.125
227,0,1460.30150451,978.940972955
228,0,1463.25,983.603009015
229,0,1460.625,992.823495493
230,0,1466.83101803,994.698495493
231,0,1737.26099549,353.1875
232,0,1573.65451352,818.375
233,0,1530.04050901,849.289932388
234,0,1116.08101803,999.459490985
235,0,1075.66203606,987.125
236,0,928.507522537,699.948495493
237,0,884.853009015,681.385995493
238,0,919.165509015,577.665509015
239,0,625.059027045,474.6875
240,0,586.084490985,583.771990985
241,0,567.521990985,577.323495493
242,0,443.209490985,926.375
243,0,377.176504507,903.573495493
244,0,586.729745493,325.625
245,0,1525.24464724,650.8125
246,0,1638.55043329,321.156831024
247,0,1526.45167849,1157.10925901
248,0,1591.01400451,1180.77708333
249,0,1597.33119201,1162.27997746
250,0,1532.63414303,1139.03125
251,0,1522.31238401,1134.47858784
252,0,1516.02725511,1154.14548648
253,0,1450.2765625,1131.56608784
254,0,1456.77818299,1112.63483784
255,0,1394.76261599,1089.93784686
256,0,1387.70769651,1108.86909686
257,0,1320.53125,1085.26759235
258,0,1327.63587951,1067.30717568
259,0,1251.39340204,1041.32986038
260,0,1318.40306701,1063.60775451
261,0,1312.08587951,1082.05358784
262,0,1244.725,1060.87916667
263,0,1393.72337951,1162.33125
264,0,1412.3734375,1169.00949099
265,0,1379.21261599,1266.2616892
266,0,1358.434375,1259.41458333
267,0,1186.07025451,1024.46817117
268,0,1182.090625,1034.69849549
269,0,1172.52806701,1038.33333333
270,0,1161.46082151,1034.66666667
271,0,1156.8453125,1025.26215314
272,0,1160.29050901,1014.5
273,0,1170.3875,1008.5
274,0,1182.46070553,1013.10300901
275,0,1921.12980349,414.988541667
276,0,1776.56394651,828.287385114
277,0,1747.82019651,833.177662159
278,0,1617.26880799,1204.72245383
279,0,1628.32528996,1208.76724549
280,0,1566.85390625,1379.15324099
281,0,1422.42248227,1328.89675901
282,0,1427.1078125,1316.36041667
283,0,1336.02650451,1284.13090314
284,0,1330.73816526,1297.11157432
285,0,1200.8234375,1251.1
286,0,1181.30451352,1105.43541667
287,0,1110.82123708,1080.09131981
288,0,961.961312802,1082.86041667
289,0,844.990625,1070.56840314
290,0,726.11328125,1042.75833333
291,0,613.4890625,1003.50358784
292,0,508.471151743,952.485416667
293,0,1664.24623708,240.89305409
294,0,2007.6875,355.916666667
295,0,1624.96903996,1457.42083333
296,0,463.086807388,1070.07719822
297,0,1008.509375,955.095833333
298,0,1001.58275451,974.898727463
299,0,937.834375,953.286574318
300,0,945.0625,932.880671174
301,0,929.803125,927.955092348
302,0,923.378125,948.059490985
303,0,859.5296875,925.140509015
304,0,866.457638522,906.343171174
305,0,836.339120493,969.269328826
306,0,819.976446515,1017.01666667
307,0,793.371932993,1008.975
308,0,809.7359375,960.725
309,0,826.00625,891.570833333
310,0,819.681307993,911.474074318
311,0,755.632754507,889.9625
312,0,762.559375,869.858333333
313,0,748.5046875,864.128819811
314,0,742.179745493,884.232986478
315,0,664.478067007,857.795833333
316,0,671.706192007,837.792245493
317,0,593.50625,811.254281552
318,0,657.254629507,832.665740985
319,0,650.92835697,852.166666667
320,0,586.278125,830.85625
321,0,513.396875,826.2375
322,0,494.121875,880.920833333
323,0,517.112326022,889.364815303
324,0,537.0890625,834.68125
325,0,598.100405948,614.964815303
327,0,657.474942007,704.51585697
328,0,628.606134015,702.498958333
329,0,604.043807993,689.8375
330,0,586.357870493,671.420833333
331,0,578.232754507,652.773958333
332,0,580.6875,630.460069811
333,0,710.4609375,655.076041667
334,0,705.953240985,669.047453826
335,0,713.805960037,671.651041667
336,0,718.342129507,657.520717348
337,0,681.5203125,697.434375
338,0,695.157928485,702.657870493
339,0,697.985995493,694.370370493
340,0,705.479629507,697.061574318
341,0,699.809259015,714.930208333
342,0,692.157754507,712.874653144
343,0,733.128182993,662.514004507
344,0,728.3765625,676.715625
345,0,733.960879507,678.716203826
346,0,738.927951022,664.585879507
347,0,752.89554447,669.968287159
348,0,741.6984375,693.909953826
349,0,738.095254507,717.232291667
350,0,722.634375,711.9375
351,0,725.232754507,703.880208333
352,0,718.959375,701.737037159
353,0,713.2171875,719.764583333
354,0,719.490567007,721.995370493
355,0,747.598495493,729.965046174
356,0,760.734027045,741.530439204
357,0,781.89375,680.256365985
358,2,1560.58174129,942.760995493
359,2,1596.9453125,910.999421174
360,2,1610.91869201,871.894675682
361,2,1618.57494201,874.092013522
362,2,1622.1015625,864.311342348
363,2,1633.33695072,867.678819811
364,2,1629.31958924,880.469328826
365,2,1637.24927674,882.980903144
366,2,1644.16579898,861.480324318
367,2,1636.45703125,859.165509015
368,2,1663.11545102,878.394675682
369,2,1694.88671875,889.289351363
370,2,1665.87789303,869.155671174
371,2,1658.33029477,866.853587841
372,2,1651.65552674,889.4375
373,2,1659.69748227,892.644096856
374,2,1691.30396424,899.550346856
375,2,1708.20457151,905.311921174
376,2,1732.48828125,835.541666667
377,2,1778.01953125,830.063657652
378,2,1783.8984375,811.874421174
379,2,1791.58275451,814.447337841
380,2,1929.30072326,419.8
381,2,1739.79603576,353.932754507
382,2,1579.3328125,807.945254507
383,2,1587.82025451,812.159490985
384,2,1602.5703125,857.426504507
385,2,1579.6695619,961.391549582
386,2,1575.52951352,957.948495493
387,2,1565.19849549,947.323495493
388,2,1502.25,992.948495493
389,2,1505.85300901,998.676504507
390,2,1570.30150451,952.323495493
391,2,1515.72048648,1009.08101803
392,2,1521.02951352,1014.32349549
393,2,1766.70361629,267.129629507
394,2,2039.56953125,355.640625
395,2,1825.60859375,970.734375
396,2,1658.53203125,995.234375
397,2,1503.45341166,1121.51504507
398,2,1453.45029326,1060.42766106
399,2,1677.87797837,238.829166667
400,2,1483.94323137,811.83125
401,2,1515.94039303,878.970484279
402,2,1400.89939273,992.060416667
403,2,739.792132805,781.912153144
404,2,721.64375,778.689583333
405,2,713.375,788.7125
406,2,697.7234375,783.701041667
407,2,701.864004507,771.031712841
408,2,655.499942007,754.516666667
409,2,671.440625,706.505902045
410,2,665.2390625,696.147916667
411,2,670.5546875,687.887037159
412,2,682.6625,689.6625
413,2,686.5015625,699.685416667
414,2,711.8984375,709.413541667
415,2,718.1,702.928125
416,2,729.0265625,704.991666667
417,2,730.7984375,716.488541667
418,2,757.08125,724.749421174
419,2,765.6453125,718.257291667
420,2,774.209375,722.384375
421,2,775.390625,732.119212841
422,2,805.506307993,741.257754507
423,2,814.9625,721.794791667
424,2,818.8015625,697.327083333
425,2,790.753067007,687.598958333
426,2,782.478125,694.084375
427,2,772.1421875,686.714583333
428,2,773.61875,676.396875
429,2,784.25,673.74375
430,2,788.6796875,661.952083333
431,2,803.740625,665.194791667
432,2,816.445254507,679.344791667
433,2,850.4,691.176735378
434,2,870.192129507,702.941550682
435,2,919.680441403,720.307407652
436,2,915.632754507,750.972453826
437,2,899.0890625,784.290625
438,2,877.53125,847.382754507
439,2,809.609375,823.497916667
440,2,792.192129507,817.019212841
441,2,793.9578125,804.336458333
442,2,778.15954568,794.688887423
443,2,749.679513522,813.193634015
444,2,824.359317007,737.513888522
445,2,832.812384015,714.009259015
446,2,868.065567007,725.739004507
447,2,869.890682993,720.670138522
448,2,835.112442007,708.035879507
449,2,837.020254507,702.964120493
450,2,896.9015625,725.09375
451,2,905.2265625,739.015625
452,2,904.8796875,752.765625
453,2,894.382696515,765.484375
454,2,878.781365985,769.09664303
455,2,820.543692007,748.040509015
456,2,822.240740985,743.616897537
457,2,858.225,756.332754507
458,2,860.1328125,750.060763522
459,1,601.113946515,615.842013522
460,1,598.354629507,626.088540567
461,1,640.403125,642.842013522
462,1,637.25289303,652.266203826
463,1,595.367910757,635.951967348
464,1,590.19140625,649.695022537
465,1,634.06640625,662.382522537
466,1,631.171875,672.353009015
467,1,586.846209735,660.420717348
468,1,1545.29736695,959.426215095
469,1,1552.86061953,962.297453826
470,1,1556.98972776,963.958333333
471,1,1564.47048648,967.129629507
472,1,1612.13179928,993.107638522
473,1,1563.68330379,979.059605871
474,1,1560.32855829,988.577546174
475,1,1610.00216977,1003.37789303
476,1,1605.28587951,1016.97164303
477,1,1557.29123227,997.185184697
478,1,1552.72728576,1007.15682883
479,1,1601.328125,1026.64004617
480,1,1529.27589724,1004.28530068
481,1,1525.00708924,997.1875
482,1,1519.9765625,988.123263522
483,2,873.08125,617.521875
484,2,1022.378125,670.777083333
485,2,916.590625,1005.55
486,2,709.7078125,934.401041667
487,2,620.1296875,529.361458333
488,2,500.314468448,868.224424472
489,0,680.25,644.5
490,0,675.771990985,657.728009015
491,0,620.244783972,635.69212621
492,0,617.235531552,644.25
493,0,672.75,666.021990985
494,0,670.603009015,673.146990985
495,0,613.301504507,657.257522537
496,0,610.875,666.20601803
497,0,667.823495493,681.573495493
498,0,1536.46802674,1014.30694371
499,0,1522.42595523,993.310648637
500,0,1573.81400451,1014.76516216
501,0,1577.31038823,1006.21875
502,0,1525.82607122,983.765278145
503,0,1526.52534796,978.390625
504,0,1581.66171875,994.357870493
505,0,1584.378125,985.146180189
506,0,1528.71944591,969.050231971
507,3,1633.55925901,868.217013522
508,3,1622.95703125,864.64351803
509,3,1619.75144651,874.009837841
510,3,1611.07740174,871.593171174
511,3,1604.90089394,889.909151824
512,3,1629.35546875,881.712384015
513,3,1636.66796875,883.979745493
514,3,1643.51707151,862.833333333
515,3,1636.05859375,860.113425682
516,3,1658.00564273,867.063078826
517,3,1650.68359375,889.114583333
518,3,1657.38035276,891.527777045
519,3,1661.95703125,878.391203826
520,3,1665.14988401,869.478587841
521,3,1694.70457151,889.56539303
522,3,1691.36255799,899.535879507
523,3,1708.27271424,905.274884015
524,3,1732.25390625,836.154513522
525,3,1778.1328125,830.067708333
526,3,1784.38208924,812.244791667
527,3,1791.38990174,814.357638522
528,3,1928.93431701,420.129050682
529,3,1739.92259826,354.481480871
530,3,1579.25636599,807.862846856
531,3,1587.62890625,812.999421174
532,3,1602.55859375,857.556712841
533,3,1767.1015625,269.454166667
534,3,2039.99536719,361.66516106
535,3,1847.67115174,948.332976584
536,3,1672.37109375,235.8625
537,3,1467.40538341,825.234378298
538,3,1618.39537049,895.155092348
539,3,1585.45613401,923.823495493
540,3,1590.01875,928.480324318
541,3,1623.46539303,899.63483784
542,3,1629.91875,907.053240985
543,3,1597.47303155,935.439236478
544,3,1601.65162049,940.59375
545,3,1634.67337951,911.853587841
546,3,1638.46875,916.031828826
547,3,1614.84675901,935.831596856
548,3,1633.20671394,941.550925682
549,3,1644.30520943,968.285880607
550,3,1632.31111148,977.034722955
551,3,1628.940625,1010.1875
552,3,1617.48587951,1036.67824099
553,3,1608.40150451,1051.27083333
554,3,1528.46423648,1023.87557883
555,3,1514.89976803,1035.13715314
556,3,1614.77314754,1069.44328606
557,3,1646.42465204,1024.67476803
558,3,1664.49699099,894.073495493
559,3,1662.57928155,918.621531442
560,3,1670.84166557,921.186342348
561,3,1669.16990655,972.477423594
562,3,1647.465625,985.414930189
563,3,1421.71565138,1005.22025341
564,3,1395.68051918,1102.71560302
565,3,1659.99771424,1187.30425737
566,3,1787.27491233,1065.27985378
567,1,674.0,662.426504507
568,1,597.426504507,630.875
569,0,585.478009015,653.25
570,0,669.5,677.323495493
